,A,B,C,output
0,30.0,44.0,59.0,23.8
1,57.0,39.0,43.0,24.9
2,61.0,78.0,31.0,24.2
3,28.0,74.0,48.0,24.1
4,74.0,50.0,56.0,26.2
5,49.0,26.0,50.0,23.5
6,39.0,44.0,38.0,24.0
7,29.0,68.0,65.0,23.7
8,30.0,44.0,51.0,23.7
9,40.0,22.0,39.0,21.8
10,43.0,54.0,31.0,23.9
11,72.0,17.0,45.0,19.9
12,21.0,88.0,63.0,22.0
13,54.0,79.0,69.0,27.6
14,37.0,53.0,63.0,25.2
15,62.0,29.0,64.0,24.0
16,32.0,81.0,58.0,25.0
17,23.0,27.0,62.0,20.8
18,64.0,43.0,38.0,25.0
19,23.0,56.0,68.0,22.1
20,44.0,82.0,40.0,25.0
21,51.0,81.0,31.0,24.9
22,49.0,78.0,39.0,25.3
23,77.0,12.0,65.0,18.6
24,55.0,10.0,45.0,16.5
25,24.0,42.0,64.0,23.6
26,41.0,76.0,68.0,26.4
27,33.0,74.0,39.0,24.2
28,33.0,10.0,61.0,15.5
29,71.0,78.0,47.0,27.5
30,21.0,87.0,64.0,21.9
31,72.0,71.0,57.0,27.5
32,57.0,38.0,30.0,23.1
33,26.0,58.0,42.0,22.7
34,51.0,16.0,39.0,19.4
35,68.0,29.0,57.0,24.9
36,30.0,23.0,50.0,21.7
37,78.0,73.0,68.0,28.8
38,44.0,81.0,38.0,25.1
39,61.0,34.0,66.0,25.4
40,69.0,67.0,45.0,27.2
41,56.0,78.0,56.0,27.4
42,76.0,37.0,32.0,24.1
43,62.0,56.0,46.0,26.4
44,67.0,25.0,32.0,23.0
45,21.0,51.0,68.0,21.6
46,40.0,51.0,57.0,25.2
47,48.0,83.0,44.0,26.1
48,53.0,23.0,41.0,22.6
49,48.0,88.0,39.0,25.8
50,29.0,45.0,58.0,23.4
51,29.0,36.0,32.0,21.9
52,38.0,17.0,61.0,20.5
53,38.0,47.0,41.0,23.9
54,27.0,12.0,46.0,18.3
55,59.0,32.0,33.0,24.1
56,58.0,65.0,47.0,26.7
57,24.0,27.0,63.0,21.2
58,59.0,69.0,58.0,27.6
59,45.0,32.0,54.0,23.4
60,55.0,11.0,55.0,16.3
61,60.0,48.0,61.0,26.6
62,79.0,79.0,38.0,26.2
63,25.0,10.0,47.0,16.7
64,61.0,55.0,68.0,27.0
65,40.0,49.0,45.0,24.5
66,65.0,73.0,54.0,27.6
67,22.0,59.0,54.0,21.9
68,20.0,40.0,32.0,20.3
69,46.0,40.0,42.0,24.6
70,64.0,23.0,46.0,23.3
71,45.0,13.0,63.0,17.8
72,29.0,53.0,33.0,23.3
73,37.0,14.0,41.0,18.5
74,25.0,87.0,40.0,23.3
75,56.0,66.0,61.0,27.8
76,42.0,44.0,67.0,25.9
77,39.0,42.0,51.0,24.1
78,78.0,29.0,64.0,24.3
79,76.0,87.0,37.0,26.0
80,65.0,59.0,42.0,26.0
81,20.0,38.0,33.0,21.5
82,33.0,81.0,54.0,25.2
83,48.0,61.0,62.0,26.3
84,35.0,79.0,69.0,25.4
85,64.0,40.0,60.0,26.1
86,24.0,82.0,55.0,22.4
87,40.0,57.0,56.0,25.8
88,35.0,68.0,56.0,24.6
89,55.0,47.0,63.0,26.5
90,63.0,80.0,40.0,26.0
91,35.0,35.0,47.0,23.4
92,71.0,86.0,30.0,24.6
93,64.0,18.0,48.0,20.2
94,36.0,80.0,49.0,24.9
95,37.0,23.0,53.0,21.7
96,79.0,88.0,32.0,25.7
97,74.0,34.0,58.0,24.7
98,73.0,63.0,60.0,27.4
99,27.0,42.0,69.0,22.7
